chrom	length	bases	mean	min	max
1	41732233	1706406486	40.89	0	25937
2	47849963	1774757095	37.09	0	8030
3	50382502	1802369970	35.77	0	13333
4	39677845	1496445003	37.71	0	9766
5	46702114	1799596400	38.53	0	29252
6	36371416	1349446169	37.10	0	22736
7	35460007	1808575321	51.00	0	31489
8	40988899	1472642050	35.93	0	12522
9	56381885	2324536879	41.23	0	11841
ML552055	47661	228791	4.80	0	42
ML552056	46909	1153697	24.59	0	154
ML552057	40232	9311372	231.44	0	4124
ML552058	28202	4223677	149.77	0	2321
ML552059	21634	1225416	56.64	0	1553
total	395731502	15550918326	39.30	0	31489
