chrom	length	bases	mean	min	max
1	41732233	2347215877	56.24	0	39373
2	47849963	2489316450	52.02	0	12584
3	50382502	2522748125	50.07	0	12707
4	39677845	2026022240	51.06	0	11615
5	46702114	2486892688	53.25	0	42326
6	36371416	1872615798	51.49	0	24329
7	35460007	2199578435	62.03	0	37793
8	40988899	1975501638	48.20	0	22296
9	56381885	3192160790	56.62	0	12419
ML552055	47661	199102	4.18	0	70
ML552056	46909	2246462	47.89	0	427
ML552057	40232	7168131	178.17	0	3627
ML552058	28202	3353919	118.92	0	2422
ML552059	21634	1757058	81.22	0	2479
total	395731502	21126776713	53.39	0	42326
