chrom	length	bases	mean	min	max
1	41732233	1331955192	31.92	0	16196
2	47849963	1509567563	31.55	0	27602
3	50382502	1422924077	28.24	0	19261
4	39677845	1247626838	31.44	0	16920
5	46702114	1394185201	29.85	0	23287
6	36371416	1209186372	33.25	0	18578
7	35460007	1478280759	41.69	0	33811
8	40988899	1127872937	27.52	0	17358
9	56381885	2033912820	36.07	0	18006
ML552055	47661	185181	3.89	0	58
ML552056	46909	870763	18.56	0	79
ML552057	40232	6390962	158.85	0	3478
ML552058	28202	4891775	173.45	0	3575
ML552059	21634	921704	42.60	0	890
total	395731502	12768772144	32.27	0	33811
