chrom	length	bases	mean	min	max
1	41732233	2372353808	56.85	0	35489
2	47849963	2422466428	50.63	0	16057
3	50382502	2456034971	48.75	0	16373
4	39677845	2055323657	51.80	0	19243
5	46702114	2467362451	52.83	0	40762
6	36371416	2011642745	55.31	0	48735
7	35460007	2373500275	66.93	0	31828
8	40988899	1974159277	48.16	0	16756
9	56381885	3276369019	58.11	0	19371
ML552055	47661	366783	7.70	0	78
ML552056	46909	1693191	36.10	0	261
ML552057	40232	24717909	614.38	0	28900
ML552058	28202	8527877	302.39	0	5211
ML552059	21634	1631165	75.40	0	2059
total	395731502	21446149556	54.19	0	48735
