chrom	length	bases	mean	min	max
1	41732233	1900688076	45.54	0	36218
2	47849963	1929544856	40.32	0	25844
3	50382502	1850413410	36.73	0	24554
4	39677845	1597886934	40.27	0	26325
5	46702114	1912492577	40.95	0	24920
6	36371416	1550517789	42.63	0	28677
7	35460007	1782587151	50.27	0	24925
8	40988899	1473655559	35.95	0	25248
9	56381885	2810155888	49.84	0	26531
ML552055	47661	499411	10.48	0	134
ML552056	46909	1162002	24.77	0	70
ML552057	40232	14371949	357.23	0	24392
ML552058	28202	5690248	201.77	0	4545
ML552059	21634	41993	1.94	0	45
total	395731502	16829707843	42.53	0	36218
