chrom	length	bases	mean	min	max
1	41732233	1415059780	33.91	0	29890
2	47849963	1414864846	29.57	0	17141
3	50382502	1454829016	28.88	0	17395
4	39677845	1247858690	31.45	0	17675
5	46702114	1463618236	31.34	0	27687
6	36371416	1252227120	34.43	0	43458
7	35460007	1451265732	40.93	0	28661
8	40988899	1156930128	28.23	0	18098
9	56381885	2110309960	37.43	0	19005
ML552055	47661	194944	4.09	0	49
ML552056	46909	1304438	27.81	0	251
ML552057	40232	4223708	104.98	0	2103
ML552058	28202	4124890	146.26	0	3147
ML552059	21634	1014257	46.88	0	1499
total	395731502	12977825745	32.79	0	43458
