chrom	length	bases	mean	min	max
1	41732233	1406364101	33.70	0	12661
2	47849963	1225074200	25.60	0	8750
3	50382502	1243900103	24.69	0	13043
4	39677845	1059900430	26.71	0	7333
5	46702114	1247526811	26.71	0	16467
6	36371416	1043290006	28.68	0	6314
7	35460007	1306477758	36.84	0	28460
8	40988899	937215106	22.87	0	4385
9	56381885	1531439315	27.16	0	9081
ML552055	47661	84207	1.77	0	44
ML552056	46909	686744	14.64	0	66
ML552057	40232	9269869	230.41	0	6031
ML552058	28202	3139373	111.32	0	1956
ML552059	21634	687834	31.79	0	533
total	395731502	11015055857	27.83	0	28460
