chrom	length	bases	mean	min	max
1	41732233	858642367	20.58	0	24035
2	47849963	845948808	17.68	0	16365
3	50382502	855157455	16.97	0	16037
4	39677845	773071873	19.48	0	16859
5	46702114	886602437	18.98	0	20973
6	36371416	753747384	20.72	0	31870
7	35460007	836875268	23.60	0	22052
8	40988899	733935332	17.91	0	16558
9	56381885	1411824238	25.04	0	18459
ML552055	47661	60416	1.27	0	16
ML552056	46909	520082	11.09	0	74
ML552057	40232	10088563	250.76	0	14902
ML552058	28202	1531104	54.29	0	1209
ML552059	21634	679745	31.42	0	943
total	395731502	7968685072	20.14	0	31870
