chrom	length	bases	mean	min	max
1	41732233	1815962677	43.51	0	36381
2	47849963	1848171212	38.62	0	21821
3	50382502	1835070962	36.42	0	22501
4	39677845	1586169482	39.98	0	22549
5	46702114	1882069988	40.30	0	33604
6	36371416	1513938311	41.62	0	43473
7	35460007	1804000106	50.87	0	30586
8	40988899	1556682421	37.98	0	23620
9	56381885	2739008674	48.58	0	25059
ML552055	47661	126805	2.66	0	31
ML552056	46909	1694092	36.11	0	363
ML552057	40232	4794353	119.17	0	2313
ML552058	28202	4575218	162.23	0	3408
ML552059	21634	1146321	52.99	0	1682
total	395731502	16593410622	41.93	0	43473
