chrom	length	bases	mean	min	max
1	41732233	1544995350	37.02	0	19182
2	47849963	1734878546	36.26	0	10412
3	50382502	1630085756	32.35	0	6768
4	39677845	1325654052	33.41	0	6469
5	46702114	1673310546	35.83	0	23407
6	36371416	1156418425	31.79	0	8421
7	35460007	1524593770	42.99	0	21627
8	40988899	1212353022	29.58	0	7563
9	56381885	2135981971	37.88	0	7574
ML552055	47661	293104	6.15	0	55
ML552056	46909	1612622	34.38	0	375
ML552057	40232	3713533	92.30	0	4352
ML552058	28202	3577043	126.84	0	2638
ML552059	21634	508362	23.50	0	746
total	395731502	13947976102	35.25	0	23407
