chrom	length	bases	mean	min	max
1	41732233	1342613708	32.17	0	24490
2	47849963	1392791096	29.11	0	26229
3	50382502	1460168835	28.98	0	24624
4	39677845	1276657884	32.18	0	32038
5	46702114	1407498647	30.14	0	27121
6	36371416	1189281664	32.70	0	34868
7	35460007	1394830348	39.34	0	27263
8	40988899	1045013752	25.50	0	28287
9	56381885	2344010143	41.57	0	32085
ML552055	47661	72796	1.53	0	21
ML552056	46909	665098	14.18	0	132
ML552057	40232	26523504	659.26	0	31515
ML552058	28202	3091896	109.63	0	2332
ML552059	21634	914609	42.28	0	873
total	395731502	12884133980	32.56	0	34868
