chrom	length	bases	mean	min	max
1	41732233	1522177029	36.47	0	30662
2	47849963	1564645057	32.70	0	12188
3	50382502	1581614461	31.39	0	15346
4	39677845	1333260543	33.60	0	12523
5	46702114	1597512127	34.21	0	29329
6	36371416	1316899577	36.21	0	42606
7	35460007	1467809244	41.39	0	29976
8	40988899	1331355445	32.48	0	13270
9	56381885	2163023583	38.36	0	14157
ML552055	47661	105453	2.21	0	32
ML552056	46909	1032601	22.01	0	134
ML552057	40232	15521092	385.79	0	22660
ML552058	28202	2689748	95.37	0	2160
ML552059	21634	1085661	50.18	0	1574
total	395731502	13898731621	35.12	0	42606
