chrom	length	bases	mean	min	max
1	41732233	3280374526	78.61	0	41389
2	47849963	3458094050	72.27	0	13066
3	50382502	3492874988	69.33	0	21018
4	39677845	2841659428	71.62	0	13179
5	46702114	3495478213	74.85	0	42041
6	36371416	2581311162	70.97	0	30952
7	35460007	3155689555	88.99	0	40731
8	40988899	2748347886	67.05	0	16724
9	56381885	4447929607	78.89	0	14522
ML552055	47661	575998	12.09	0	120
ML552056	46909	3214080	68.52	0	593
ML552057	40232	9427151	234.32	0	4519
ML552058	28202	6338760	224.76	0	4683
ML552059	21634	2203633	101.86	0	3213
total	395731502	29523519037	74.60	0	42041
