chrom	length	bases	mean	min	max
1	41732233	1440268074	34.51	0	16810
2	47849963	1443004343	30.16	0	16760
3	50382502	1464167649	29.06	0	17166
4	39677845	1268478393	31.97	0	17433
5	46702114	1450520128	31.06	0	20786
6	36371416	1247141789	34.29	0	18538
7	35460007	1473728469	41.56	0	29992
8	40988899	1199590143	29.27	0	17894
9	56381885	2124219093	37.68	0	18484
ML552055	47661	100523	2.11	0	31
ML552056	46909	934955	19.93	0	147
ML552057	40232	15839645	393.71	0	12396
ML552058	28202	4275034	151.59	0	2667
ML552059	21634	2682180	123.98	0	3150
total	395731502	13134950418	33.19	0	29992
