chrom	length	bases	mean	min	max
1	41732233	1807646750	43.32	0	31322
2	47849963	1830921493	38.26	0	29888
3	50382502	1898322116	37.68	0	26873
4	39677845	1545252068	38.94	0	43001
5	46702114	1847537511	39.56	0	33260
6	36371416	1429705672	39.31	0	45596
7	35460007	1801210499	50.80	0	32468
8	40988899	1310955152	31.98	0	34014
9	56381885	2982535916	52.90	0	40518
ML552055	47661	109095	2.29	0	42
ML552056	46909	1206575	25.72	0	194
ML552057	40232	21496287	534.31	0	23341
ML552058	28202	4895615	173.59	0	3651
ML552059	21634	20433	0.94	0	38
total	395731502	16481815182	41.65	0	45596
