chrom	length	bases	mean	min	max
1	41732233	1385383141	33.20	0	28419
2	47849963	1460698843	30.53	0	29700
3	50382502	1370542919	27.20	0	23563
4	39677845	1203854311	30.34	0	26597
5	46702114	1391119387	29.79	0	22811
6	36371416	1258332775	34.60	0	29508
7	35460007	1354006850	38.18	0	28247
8	40988899	1133269110	27.65	0	24451
9	56381885	2184119330	38.74	0	25422
ML552055	47661	1073473	22.52	0	75
ML552056	46909	1199642	25.57	0	226
ML552057	40232	4100644	101.92	0	1916
ML552058	28202	3059218	108.48	0	2542
ML552059	21634	945616	43.71	0	1382
total	395731502	12751705259	32.22	0	29700
