chrom	length	bases	mean	min	max
1	41732233	1382050371	33.12	0	28873
2	47849963	1384383256	28.93	0	14489
3	50382502	1390721687	27.60	0	14915
4	39677845	1204001821	30.34	0	15028
5	46702114	1428971775	30.60	0	25540
6	36371416	1153364023	31.71	0	26813
7	35460007	1390921893	39.23	0	37038
8	40988899	1161229686	28.33	0	15755
9	56381885	2024009572	35.90	0	16550
ML552055	47661	109173	2.29	0	41
ML552056	46909	898205	19.15	0	117
ML552057	40232	9798518	243.55	0	11990
ML552058	28202	3225086	114.36	0	2673
ML552059	21634	939935	43.45	0	1433
total	395731502	12534625001	31.67	0	37038
