chrom	length	bases	mean	min	max
1	41732233	1978452874	47.41	0	27692
2	47849963	1948670100	40.72	0	5373
3	50382502	1969366313	39.09	0	12353
4	39677845	1584539055	39.94	0	4349
5	46702114	1975085195	42.29	0	36274
6	36371416	1467383998	40.34	0	10088
7	35460007	1972090628	55.61	0	28931
8	40988899	1543773726	37.66	0	17815
9	56381885	2366144214	41.97	0	12103
ML552055	47661	432751	9.08	0	82
ML552056	46909	768536	16.38	0	112
ML552057	40232	6566139	163.21	0	2750
ML552058	28202	5207516	184.65	0	3309
ML552059	21634	1273276	58.86	0	1629
total	395731502	16819754321	42.50	0	36274
