chrom	length	bases	mean	min	max
1	41732233	1241071080	29.74	0	25328
2	47849963	1239650436	25.91	0	18431
3	50382502	1272156092	25.25	0	19429
4	39677845	1021033037	25.73	0	19292
5	46702114	1234233854	26.43	0	18466
6	36371416	1010547185	27.78	0	22290
7	35460007	1097195835	30.94	0	20365
8	40988899	979935339	23.91	0	20084
9	56381885	1876767903	33.29	0	20977
ML552055	47661	938868	19.70	0	55
ML552056	46909	1110117	23.67	0	263
ML552057	40232	8898394	221.18	0	17184
ML552058	28202	1931326	68.48	0	1464
ML552059	21634	8240	0.38	0	11
total	395731502	10985477706	27.76	0	25328
