chrom	length	bases	mean	min	max
1	41732233	1655393229	39.67	0	27269
2	47849963	1707197417	35.68	0	11339
3	50382502	1726669444	34.27	0	16904
4	39677845	1451293158	36.58	0	12399
5	46702114	1751892236	37.51	0	30589
6	36371416	1436192774	39.49	0	44190
7	35460007	1677580134	47.31	0	29789
8	40988899	1443224954	35.21	0	14103
9	56381885	2319734188	41.14	0	13527
ML552055	47661	116142	2.44	0	35
ML552056	46909	1106518	23.59	0	141
ML552057	40232	17523723	435.57	0	19752
ML552058	28202	2998664	106.33	0	2208
ML552059	21634	1150747	53.19	0	1420
total	395731502	15192073328	38.39	0	44190
