chrom	length	bases	mean	min	max
1	41732233	1096374958	26.27	0	21745
2	47849963	1113721970	23.28	0	21497
3	50382502	1142222996	22.67	0	22721
4	39677845	992977371	25.03	0	23195
5	46702114	1105117452	23.66	0	21728
6	36371416	910287479	25.03	0	26328
7	35460007	1046604210	29.52	0	23559
8	40988899	976018459	23.81	0	23044
9	56381885	1823337707	32.34	0	24334
ML552055	47661	773885	16.24	0	47
ML552056	46909	667666	14.23	0	46
ML552057	40232	5940211	147.65	0	1851
ML552058	28202	2312168	81.99	0	1816
ML552059	21634	2986431	138.04	0	1341
total	395731502	10219342963	25.82	0	26328
