chrom	length	bases	mean	min	max
1	41732233	3304434501	79.18	0	38559
2	47849963	3431695573	71.72	0	24237
3	50382502	3580549859	71.07	0	24252
4	39677845	2972599208	74.92	0	24750
5	46702114	3492428448	74.78	0	51506
6	36371416	2678007372	73.63	0	27814
7	35460007	3185373989	89.83	0	28996
8	40988899	2665936104	65.04	0	26875
9	56381885	4653530128	82.54	0	27057
ML552055	47661	1046708	21.96	0	152
ML552056	46909	2217552	47.27	0	310
ML552057	40232	34306473	852.72	0	10969
ML552058	28202	8977533	318.33	0	6032
ML552059	21634	5904401	272.92	0	7212
total	395731502	30017007849	75.85	0	51506
