chrom	length	bases	mean	min	max
1	41732233	2181941270	52.28	0	27310
2	47849963	2147232490	44.87	0	26474
3	50382502	2262808732	44.91	0	26605
4	39677845	1913670175	48.23	0	30052
5	46702114	2142915390	45.88	0	39223
6	36371416	1713637388	47.11	0	31943
7	35460007	2047411299	57.74	0	31653
8	40988899	1628986507	39.74	0	27701
9	56381885	3126990000	55.46	0	30106
ML552055	47661	253680	5.32	0	43
ML552056	46909	1393029	29.70	0	188
ML552057	40232	13927069	346.17	0	12015
ML552058	28202	4594598	162.92	0	3738
ML552059	21634	1508507	69.73	0	1381
total	395731502	19187270134	48.49	0	39223
