chrom	length	bases	mean	min	max
1	41732233	1646853185	39.46	0	23097
2	47849963	1634800557	34.17	0	17149
3	50382502	1720992768	34.16	0	17189
4	39677845	1427269090	35.97	0	18295
5	46702114	1629276950	34.89	0	33869
6	36371416	1289200812	35.45	0	19779
7	35460007	1515204120	42.73	0	25638
8	40988899	1238679400	30.22	0	17882
9	56381885	2295264840	40.71	0	18975
ML552055	47661	194728	4.09	0	33
ML552056	46909	1098089	23.41	0	155
ML552057	40232	10651923	264.76	0	9538
ML552058	28202	3561657	126.29	0	2636
ML552059	21634	1159121	53.58	0	1079
total	395731502	14414207240	36.42	0	33869
