chrom	length	bases	mean	min	max
1	41732233	1635735258	39.20	0	23905
2	47849963	1611776416	33.68	0	23019
3	50382502	1640231533	32.56	0	13701
4	39677845	1234929375	31.12	0	3883
5	46702114	1575389792	33.73	0	15439
6	36371416	1267601662	34.85	0	8088
7	35460007	1347754863	38.01	0	24643
8	40988899	1157204299	28.23	0	6058
9	56381885	1903416368	33.76	0	7234
ML552055	47661	55775	1.17	0	24
ML552056	46909	1099591	23.44	0	118
ML552057	40232	10467608	260.18	0	7126
ML552058	28202	1979969	70.21	0	1222
ML552059	21634	960314	44.39	0	804
total	395731502	13388602823	33.83	0	24643
