chrom	length	bases	mean	min	max
1	41732233	1436513187	34.42	0	31929
2	47849963	1433129884	29.95	0	17277
3	50382502	1461557819	29.01	0	24444
4	39677845	1265464568	31.89	0	16771
5	46702114	1421230931	30.43	0	23449
6	36371416	1232855077	33.90	0	19506
7	35460007	1618850167	45.65	0	40477
8	40988899	1121327851	27.36	0	17132
9	56381885	2074159194	36.79	0	19113
ML552055	47661	227769	4.78	0	43
ML552056	46909	794182	16.93	0	106
ML552057	40232	21104141	524.56	0	23570
ML552058	28202	6927338	245.63	0	5387
ML552059	21634	16300	0.75	0	32
total	395731502	13094158408	33.09	0	40477
