chrom	length	bases	mean	min	max
1	41732233	1863146626	44.65	0	9585
2	47849963	2005515453	41.91	0	6025
3	50382502	1969209174	39.09	0	7623
4	39677845	1598957393	40.30	0	7810
5	46702114	1992256742	42.66	0	20960
6	36371416	1408423237	38.72	0	6515
7	35460007	1718934114	48.48	0	13703
8	40988899	1473522553	35.95	0	8213
9	56381885	2520530202	44.70	0	7423
ML552055	47661	538458	11.30	0	126
ML552056	46909	720293	15.36	0	93
ML552057	40232	2554653	63.50	0	1069
ML552058	28202	3751201	133.01	0	1956
ML552059	21634	521272	24.10	0	759
total	395731502	16558581371	41.84	0	20960
