chrom	length	bases	mean	min	max
1	41732233	1395536328	33.44	0	20664
2	47849963	1285001524	26.85	0	11623
3	50382502	1274157638	25.29	0	19303
4	39677845	1035495844	26.10	0	19912
5	46702114	1280661995	27.42	0	20846
6	36371416	997021652	27.41	0	24632
7	35460007	1345676745	37.95	0	29420
8	40988899	1029608978	25.12	0	30834
9	56381885	1573626770	27.91	0	14065
ML552055	47661	221152	4.64	0	43
ML552056	46909	1177858	25.11	0	213
ML552057	40232	8794114	218.59	0	8405
ML552058	28202	3416210	121.13	0	2061
ML552059	21634	472359	21.83	0	860
total	395731502	11230869167	28.38	0	30834
