chrom	length	bases	mean	min	max
1	41732233	1545282193	37.03	0	23112
2	47849963	1409697553	29.46	0	12254
3	50382502	1431502281	28.41	0	15358
4	39677845	1227861545	30.95	0	4021
5	46702114	1441333958	30.86	0	19043
6	36371416	1132827766	31.15	0	7913
7	35460007	1448618313	40.85	0	32743
8	40988899	1122189793	27.38	0	8039
9	56381885	1782034209	31.61	0	8784
ML552055	47661	79447	1.67	0	24
ML552056	46909	893065	19.04	0	60
ML552057	40232	8632676	214.57	0	3227
ML552058	28202	3008201	106.67	0	1872
ML552059	21634	2552986	118.01	0	1306
total	395731502	12556513986	31.73	0	32743
