chrom	length	bases	mean	min	max
1	41732233	1032819692	24.75	0	22210
2	47849963	1023448354	21.39	0	13854
3	50382502	1029110804	20.43	0	14138
4	39677845	904680420	22.80	0	14254
5	46702114	1061469926	22.73	0	18538
6	36371416	858561041	23.61	0	31824
7	35460007	1063086035	29.98	0	21477
8	40988899	852421986	20.80	0	14748
9	56381885	1577218212	27.97	0	15478
ML552055	47661	438113	9.19	0	58
ML552056	46909	887970	18.93	0	151
ML552057	40232	2719097	67.59	0	1367
ML552058	28202	2947800	104.52	0	2478
ML552059	21634	631679	29.20	0	963
total	395731502	9410441129	23.78	0	31824
