chrom	length	bases	mean	min	max
1	41732233	1519207905	36.40	0	26333
2	47849963	1551097205	32.42	0	18516
3	50382502	1571424458	31.19	0	24071
4	39677845	1387458651	34.97	0	20095
5	46702114	1548212306	33.15	0	21021
6	36371416	1302537769	35.81	0	30304
7	35460007	1535227828	43.29	0	40612
8	40988899	1256941731	30.67	0	19655
9	56381885	2259569367	40.08	0	21190
ML552055	47661	171715	3.60	0	31
ML552056	46909	902663	19.24	0	144
ML552057	40232	18553119	461.15	0	17762
ML552058	28202	3117234	110.53	0	2509
ML552059	21634	462462	21.38	0	432
total	395731502	13954884413	35.26	0	40612
