chrom	length	bases	mean	min	max
1	41732233	1992391505	47.74	0	9696
2	47849963	2229564431	46.59	0	10202
3	50382502	2110985518	41.90	0	9429
4	39677845	1694707420	42.71	0	6533
5	46702114	2154054803	46.12	0	14623
6	36371416	1756722133	48.30	0	5324
7	35460007	1856285238	52.35	0	17396
8	40988899	1541338560	37.60	0	13074
9	56381885	2681001339	47.55	0	7145
ML552055	47661	574803	12.06	0	134
ML552056	46909	723961	15.43	0	99
ML552057	40232	3288696	81.74	0	1334
ML552058	28202	4373649	155.08	0	1993
ML552059	21634	573525	26.51	0	923
total	395731502	18026585581	45.55	0	17396
