chrom	length	bases	mean	min	max
1	41732233	2202239587	52.77	0	29829
2	47849963	1914337651	40.01	0	7040
3	50382502	1959647193	38.90	0	18421
4	39677845	1582301424	39.88	0	5570
5	46702114	1970349283	42.19	0	32389
6	36371416	1561910841	42.94	0	16355
7	35460007	2240306971	63.18	0	40776
8	40988899	1441668014	35.17	0	8254
9	56381885	2424433824	43.00	0	10307
ML552055	47661	123363	2.59	0	58
ML552056	46909	1186604	25.30	0	139
ML552057	40232	14660728	364.40	0	17062
ML552058	28202	9168077	325.09	0	5338
ML552059	21634	1134242	52.43	0	1467
total	395731502	17323467802	43.78	0	40776
