chrom	length	bases	mean	min	max
1	41732233	1676525852	40.17	0	29185
2	47849963	1622963242	33.92	0	26724
3	50382502	1624528446	32.24	0	27467
4	39677845	1464584463	36.91	0	28049
5	46702114	1687025406	36.12	0	26453
6	36371416	1362066202	37.45	0	30939
7	35460007	1599256728	45.10	0	36689
8	40988899	1366560290	33.34	0	28331
9	56381885	2641093645	46.84	0	30344
ML552055	47661	121573	2.55	0	39
ML552056	46909	1069167	22.79	0	157
ML552057	40232	10183428	253.12	0	12405
ML552058	28202	3184398	112.91	0	2549
ML552059	21634	1002689	46.35	0	1551
total	395731502	15060165529	38.06	0	36689
