chrom	length	bases	mean	min	max
1	41732233	1282534162	30.73	0	31931
2	47849963	1224550280	25.59	0	12749
3	50382502	1240057103	24.61	0	10969
4	39677845	1010738217	25.47	0	8080
5	46702114	1272557411	27.25	0	26126
6	36371416	1064154894	29.26	0	12223
7	35460007	1296343897	36.56	0	14543
8	40988899	931512064	22.73	0	7332
9	56381885	1690182352	29.98	0	10109
ML552055	47661	76010	1.59	0	23
ML552056	46909	861704	18.37	0	110
ML552057	40232	10471540	260.28	0	7157
ML552058	28202	4057727	143.88	0	2714
ML552059	21634	966364	44.67	0	1199
total	395731502	11029063725	27.87	0	31931
