chrom	length	bases	mean	min	max
1	41732233	1297023508	31.08	0	29664
2	47849963	1406642034	29.40	0	30761
3	50382502	1302196015	25.85	0	26136
4	39677845	1194569672	30.11	0	25257
5	46702114	1326471265	28.40	0	26526
6	36371416	1031890006	28.37	0	30292
7	35460007	1337108876	37.71	0	27798
8	40988899	1061924624	25.91	0	26876
9	56381885	2184571698	38.75	0	29666
ML552055	47661	90935	1.91	0	28
ML552056	46909	724359	15.44	0	68
ML552057	40232	7801217	193.91	0	8717
ML552058	28202	3637920	129.00	0	2710
ML552059	21634	1079181	49.88	0	1581
total	395731502	12155731310	30.72	0	30761
