chrom	length	bases	mean	min	max
1	41732233	1361910975	32.63	0	34437
2	47849963	1356206176	28.34	0	26136
3	50382502	1294621087	25.70	0	28038
4	39677845	1183981754	29.84	0	28773
5	46702114	1345325617	28.81	0	27687
6	36371416	1179442324	32.43	0	33005
7	35460007	1236598452	34.87	0	29355
8	40988899	1100105121	26.84	0	28728
9	56381885	2224358030	39.45	0	29893
ML552055	47661	93539	1.96	0	31
ML552056	46909	1196172	25.50	0	242
ML552057	40232	8606959	213.93	0	8596
ML552058	28202	2503367	88.77	0	1981
ML552059	21634	969947	44.83	0	1446
total	395731502	12295919520	31.07	0	34437
