chrom	length	bases	mean	min	max
1	41732233	1393419386	33.39	0	22093
2	47849963	1402220910	29.30	0	20246
3	50382502	1431573064	28.41	0	21611
4	39677845	1246103384	31.41	0	20992
5	46702114	1442420074	30.89	0	22921
6	36371416	1126262155	30.97	0	24950
7	35460007	1467762566	41.39	0	25191
8	40988899	1155413652	28.19	0	21826
9	56381885	2192815046	38.89	0	23056
ML552055	47661	202615	4.25	0	50
ML552056	46909	989390	21.09	0	133
ML552057	40232	5521303	137.24	0	1803
ML552058	28202	4645160	164.71	0	3952
ML552059	21634	1431221	66.16	0	1962
total	395731502	12870779926	32.52	0	25191
