chrom	length	bases	mean	min	max
1	41732233	1958209340	46.92	0	31565
2	47849963	1996413134	41.72	0	21516
3	50382502	2017859137	40.05	0	22328
4	39677845	1729993217	43.60	0	26708
5	46702114	2026870361	43.40	0	39031
6	36371416	1548751180	42.58	0	29832
7	35460007	1924879536	54.28	0	29837
8	40988899	1597914909	38.98	0	22705
9	56381885	2867815302	50.86	0	26252
ML552055	47661	460793	9.67	0	93
ML552056	46909	1100332	23.46	0	155
ML552057	40232	6893991	171.36	0	2840
ML552058	28202	6570711	232.99	0	4044
ML552059	21634	1544577	71.40	0	1950
total	395731502	17685276520	44.69	0	39031
