chrom	length	bases	mean	min	max
1	41732233	1869204666	44.79	0	31536
2	47849963	1839077601	38.43	0	11337
3	50382502	1784747524	35.42	0	13237
4	39677845	1444082304	36.40	0	10275
5	46702114	1792787905	38.39	0	34229
6	36371416	1389184515	38.19	0	9709
7	35460007	1970592774	55.57	0	29308
8	40988899	1432896330	34.96	0	7973
9	56381885	2170684742	38.50	0	10850
ML552055	47661	166030	3.48	0	66
ML552056	46909	1278928	27.26	0	152
ML552057	40232	11758175	292.26	0	4755
ML552058	28202	8472708	300.43	0	5309
ML552059	21634	1138778	52.64	0	1409
total	395731502	15716072980	39.71	0	34229
