chrom	length	bases	mean	min	max
1	41732233	2134481380	51.15	0	14614
2	47849963	2287381849	47.80	0	28316
3	50382502	2201932368	43.70	0	17709
4	39677845	1851064017	46.65	0	4425
5	46702114	2169505888	46.45	0	26017
6	36371416	1627746010	44.75	0	15715
7	35460007	2035671945	57.41	0	50015
8	40988899	1732758690	42.27	0	12187
9	56381885	2671910695	47.39	0	10221
ML552055	47661	197318	4.14	0	70
ML552056	46909	1998318	42.60	0	322
ML552057	40232	7688474	191.10	0	2287
ML552058	28202	2807220	99.54	0	1494
ML552059	21634	1353020	62.54	0	1099
total	395731502	18726497192	47.32	0	50015
