chrom	length	bases	mean	min	max
1	41732233	1270312210	30.44	0	22980
2	47849963	1370569941	28.64	0	22771
3	50382502	1277230732	25.35	0	23985
4	39677845	1181959973	29.79	0	25521
5	46702114	1313771371	28.13	0	23903
6	36371416	1103108387	30.33	0	38627
7	35460007	1241167365	35.00	0	34635
8	40988899	1054664627	25.73	0	24234
9	56381885	2098627062	37.22	0	26042
ML552055	47661	88815	1.86	0	24
ML552056	46909	879055	18.74	0	118
ML552057	40232	4212298	104.70	0	1703
ML552058	28202	2290052	81.20	0	1777
ML552059	21634	907450	41.95	0	861
total	395731502	11919789338	30.12	0	38627
