chrom	length	bases	mean	min	max
1	41732233	733230292	17.57	0	19727
2	47849963	758405428	15.85	0	14402
3	50382502	734660103	14.58	0	14823
4	39677845	655868135	16.53	0	15997
5	46702114	743102156	15.91	0	14134
6	36371416	582338380	16.01	0	18279
7	35460007	795926037	22.45	0	18978
8	40988899	607447529	14.82	0	14911
9	56381885	1211738896	21.49	0	16859
ML552055	47661	65628	1.38	0	23
ML552056	46909	656589	14.00	0	122
ML552057	40232	2393180	59.48	0	1138
ML552058	28202	2944582	104.41	0	2176
ML552059	21634	570810	26.38	0	848
total	395731502	6829347745	17.26	0	19727
