chrom	length	bases	mean	min	max
1	41732233	1492062267	35.75	0	17049
2	47849963	1599545772	33.43	0	30428
3	50382502	1596893179	31.70	0	17847
4	39677845	1292526904	32.58	0	15935
5	46702114	1456840911	31.19	0	23629
6	36371416	1281069513	35.22	0	18902
7	35460007	1405540251	39.64	0	30143
8	40988899	1172810023	28.61	0	17373
9	56381885	2108714349	37.40	0	18616
ML552055	47661	542643	11.39	0	58
ML552056	46909	981185	20.92	0	98
ML552057	40232	5653054	140.51	0	1926
ML552058	28202	3683164	130.60	0	2999
ML552059	21634	1115696	51.57	0	1054
total	395731502	13417978911	33.91	0	30428
