chrom	length	bases	mean	min	max
1	41732233	1207165804	28.93	0	25867
2	47849963	1148867596	24.01	0	25362
3	50382502	1139491490	22.62	0	26974
4	39677845	1044689645	26.33	0	28127
5	46702114	1216695297	26.05	0	33523
6	36371416	925281133	25.44	0	31536
7	35460007	1083825365	30.56	0	25638
8	40988899	938467956	22.90	0	27133
9	56381885	1997721594	35.43	0	28745
ML552055	47661	190899	4.01	0	36
ML552056	46909	1095540	23.35	0	243
ML552057	40232	1687660	41.95	0	955
ML552058	28202	1806034	64.04	0	1370
ML552059	21634	254106	11.75	0	325
total	395731502	10707240119	27.06	0	33523
