chrom	length	bases	mean	min	max
1	41732233	1142671357	27.38	0	29099
2	47849963	1134620281	23.71	0	16579
3	50382502	1074458338	21.33	0	17365
4	39677845	939647553	23.68	0	18446
5	46702114	1085853882	23.25	0	18324
6	36371416	892572808	24.54	0	33708
7	35460007	1010431618	28.49	0	23990
8	40988899	838058747	20.45	0	17903
9	56381885	1743784264	30.93	0	19038
ML552055	47661	149607	3.14	0	31
ML552056	46909	706636	15.06	0	108
ML552057	40232	10662944	265.04	0	14695
ML552058	28202	1787248	63.37	0	1521
ML552059	21634	679541	31.41	0	1062
total	395731502	9876084824	24.96	0	33708
