chrom	length	bases	mean	min	max
1	41732233	1341078138	32.14	0	19790
2	47849963	1328301931	27.76	0	19681
3	50382502	1363166142	27.06	0	20400
4	39677845	1177166448	29.67	0	22511
5	46702114	1360141566	29.12	0	22377
6	36371416	1073173530	29.51	0	24974
7	35460007	1426598079	40.23	0	27316
8	40988899	1088648743	26.56	0	20802
9	56381885	2059130357	36.52	0	21922
ML552055	47661	123518	2.59	0	70
ML552056	46909	739512	15.76	0	94
ML552057	40232	12172940	302.57	0	8663
ML552058	28202	4040786	143.28	0	3162
ML552059	21634	2575094	119.03	0	2741
total	395731502	12237056784	30.92	0	27316
