chrom	length	bases	mean	min	max
1	41732233	1177828505	28.22	0	24899
2	47849963	1016545176	21.24	0	8396
3	50382502	1015840083	20.16	0	5441
4	39677845	828151672	20.87	0	3200
5	46702114	1067844785	22.87	0	17182
6	36371416	846586418	23.28	0	30434
7	35460007	939088853	26.48	0	6953
8	40988899	812686175	19.83	0	10280
9	56381885	1257219407	22.30	0	4145
ML552055	47661	43783	0.92	0	13
ML552056	46909	591583	12.61	0	78
ML552057	40232	3665642	91.11	0	1519
ML552058	28202	1774507	62.92	0	1164
ML552059	21634	708602	32.75	0	907
total	395731502	8968575191	22.66	0	30434
