chrom	length	bases	mean	min	max
1	41732233	1470869216	35.25	0	26990
2	47849963	1452288435	30.35	0	26193
3	50382502	1408518240	27.96	0	27970
4	39677845	1249278352	31.49	0	27508
5	46702114	1436544051	30.76	0	26635
6	36371416	1177892505	32.39	0	31571
7	35460007	1326629313	37.41	0	29031
8	40988899	1192533734	29.09	0	28361
9	56381885	2333210495	41.38	0	30101
ML552055	47661	121779	2.56	0	38
ML552056	46909	1334618	28.45	0	318
ML552057	40232	3510283	87.25	0	1848
ML552058	28202	2268250	80.43	0	1852
ML552059	21634	916335	42.36	0	1375
total	395731502	13055915606	32.99	0	31571
