chrom	length	bases	mean	min	max
1	41732233	1923411683	46.09	0	35622
2	47849963	2005415031	41.91	0	8357
3	50382502	2049623366	40.68	0	18923
4	39677845	1671582505	42.13	0	9308
5	46702114	2043646352	43.76	0	36880
6	36371416	1673794540	46.02	0	56257
7	35460007	2065309010	58.24	0	47064
8	40988899	1616889160	39.45	0	11823
9	56381885	2593908501	46.01	0	13861
ML552055	47661	326502	6.85	0	58
ML552056	46909	1868822	39.84	0	358
ML552057	40232	6997469	173.93	0	3255
ML552058	28202	6255552	221.81	0	4696
ML552059	21634	1507379	69.68	0	2197
total	395731502	17660535872	44.63	0	56257
