chrom	length	bases	mean	min	max
1	41732233	1308539875	31.36	0	23734
2	47849963	1260690281	26.35	0	7474
3	50382502	1251576153	24.84	0	8180
4	39677845	1033973532	26.06	0	2708
5	46702114	1283955356	27.49	0	27903
6	36371416	937757589	25.78	0	14116
7	35460007	1359026060	38.33	0	20140
8	40988899	978866566	23.88	0	14280
9	56381885	1550887943	27.51	0	6442
ML552055	47661	377241	7.92	0	68
ML552056	46909	878689	18.73	0	83
ML552057	40232	3616985	89.90	0	1830
ML552058	28202	4586012	162.61	0	2758
ML552059	21634	914753	42.28	0	1173
total	395731502	10975647035	27.74	0	27903
