chrom	length	bases	mean	min	max
1	41732233	1175795347	28.17	0	19615
2	47849963	1128277053	23.58	0	20765
3	50382502	1117017365	22.17	0	19523
4	39677845	1029203081	25.94	0	26060
5	46702114	1188232243	25.44	0	38399
6	36371416	904175995	24.86	0	28238
7	35460007	1115103477	31.45	0	27006
8	40988899	882370504	21.53	0	22601
9	56381885	1898992715	33.68	0	25498
ML552055	47661	156123	3.28	0	28
ML552056	46909	667806	14.24	0	43
ML552057	40232	5867537	145.84	0	5535
ML552058	28202	2437925	86.45	0	1863
ML552059	21634	581142	26.86	0	508
total	395731502	10448878313	26.40	0	38399
