chrom	length	bases	mean	min	max
1	41732233	2344726805	56.19	0	32665
2	47849963	2209077376	46.17	0	6149
3	50382502	2213936929	43.94	0	14673
4	39677845	1844459052	46.49	0	6460
5	46702114	2251013491	48.20	0	45407
6	36371416	1682170692	46.25	0	12507
7	35460007	2064380057	58.22	0	31764
8	40988899	1798423416	43.88	0	13850
9	56381885	2754999810	48.86	0	10879
ML552055	47661	1209563	25.38	0	172
ML552056	46909	1918337	40.89	0	309
ML552057	40232	8303888	206.40	0	3142
ML552058	28202	2935644	104.09	0	2045
ML552059	21634	1315478	60.81	0	1660
total	395731502	19178870538	48.46	0	45407
