chrom	length	bases	mean	min	max
1	41732233	1442739429	34.57	0	28157
2	47849963	1508458346	31.52	0	13740
3	50382502	1572685861	31.21	0	12446
4	39677845	1270412303	32.02	0	13531
5	46702114	1509136533	32.31	0	32966
6	36371416	1116251043	30.69	0	15390
7	35460007	1428539468	40.29	0	18615
8	40988899	1145655575	27.95	0	25068
9	56381885	2062384999	36.58	0	14149
ML552055	47661	563234	11.82	0	112
ML552056	46909	849777	18.12	0	145
ML552057	40232	7983449	198.44	0	7970
ML552058	28202	3898727	138.24	0	3253
ML552059	21634	1417912	65.54	0	1942
total	395731502	13070976656	33.03	0	32966
