chrom	length	bases	mean	min	max
1	41732233	2454920716	58.83	0	19529
2	47849963	2123490908	44.38	0	10967
3	50382502	2376360257	47.17	0	14803
4	39677845	1896970357	47.81	0	5996
5	46702114	2298306236	49.21	0	30401
6	36371416	1804076157	49.60	0	12944
7	35460007	2067583554	58.31	0	27027
8	40988899	1681039586	41.01	0	8918
9	56381885	2671271241	47.38	0	8160
ML552055	47661	646117	13.56	0	179
ML552056	46909	1517758	32.36	0	174
ML552057	40232	13604873	338.16	0	3868
ML552058	28202	2991886	106.09	0	2032
ML552059	21634	6261909	289.45	0	2835
total	395731502	19399041555	49.02	0	30401
