chrom	length	bases	mean	min	max
1	41732233	1436305871	34.42	0	35833
2	47849963	1453836755	30.38	0	15641
3	50382502	1455765140	28.89	0	16546
4	39677845	1246934240	31.43	0	16617
5	46702114	1478070819	31.65	0	33342
6	36371416	1155029536	31.76	0	19416
7	35460007	1483383809	41.83	0	20444
8	40988899	1162793604	28.37	0	17005
9	56381885	2102287715	37.29	0	18079
ML552055	47661	866890	18.19	0	112
ML552056	46909	926416	19.75	0	128
ML552057	40232	5367946	133.42	0	8755
ML552058	28202	4307497	152.74	0	3509
ML552059	21634	129320	5.98	0	284
total	395731502	12986005558	32.82	0	35833
