chrom	length	bases	mean	min	max
1	41732233	1522682929	36.49	0	29441
2	47849963	1543178775	32.25	0	13300
3	50382502	1558280454	30.93	0	13646
4	39677845	1321837287	33.31	0	14203
5	46702114	1586496562	33.97	0	30858
6	36371416	1284951666	35.33	0	41681
7	35460007	1497460457	42.23	0	37407
8	40988899	1307781529	31.91	0	22634
9	56381885	2171835078	38.52	0	14585
ML552055	47661	122439	2.57	0	47
ML552056	46909	1382700	29.48	0	250
ML552057	40232	4701189	116.85	0	2104
ML552058	28202	2777209	98.48	0	1753
ML552059	21634	915641	42.32	0	1429
total	395731502	13804403915	34.88	0	41681
