chrom	length	bases	mean	min	max
1	41732233	1460936082	35.01	0	31704
2	47849963	1477499330	30.88	0	11421
3	50382502	1476219156	29.30	0	12043
4	39677845	1245271746	31.38	0	12768
5	46702114	1494442982	32.00	0	37963
6	36371416	1121679773	30.84	0	14554
7	35460007	1379223333	38.90	0	27159
8	40988899	1169276472	28.53	0	12736
9	56381885	2019982310	35.83	0	13225
ML552055	47661	324625	6.81	0	81
ML552056	46909	613799	13.08	0	106
ML552057	40232	7912687	196.68	0	9435
ML552058	28202	2305598	81.75	0	1941
ML552059	21634	1076242	49.75	0	1599
total	395731502	12856764135	32.49	0	37963
