chrom	length	bases	mean	min	max
1	41732233	2748770271	65.87	0	39246
2	47849963	2822328035	58.98	0	25920
3	50382502	2985860169	59.26	0	27464
4	39677845	2364309603	59.59	0	26907
5	46702114	2694170416	57.69	0	32004
6	36371416	2346185300	64.51	0	28594
7	35460007	2800825177	78.99	0	30849
8	40988899	2236217597	54.56	0	27445
9	56381885	3848691088	68.26	0	28468
ML552055	47661	97955	2.06	0	44
ML552056	46909	1595862	34.02	0	83
ML552057	40232	26538147	659.63	0	26317
ML552058	28202	12175132	431.71	0	9096
ML552059	21634	42778	1.98	0	105
total	395731502	24887807530	62.89	0	39246
