chrom	length	bases	mean	min	max
1	41732233	1720380043	41.22	0	26915
2	47849963	1771364306	37.02	0	38917
3	50382502	1840639477	36.53	0	20682
4	39677845	1497700075	37.75	0	20501
5	46702114	1758446177	37.65	0	47764
6	36371416	1334601105	36.69	0	22705
7	35460007	1636437797	46.15	0	27692
8	40988899	1314926223	32.08	0	19824
9	56381885	2487956137	44.13	0	21204
ML552055	47661	81973	1.72	0	34
ML552056	46909	1224921	26.11	0	180
ML552057	40232	14094856	350.34	0	9860
ML552058	28202	4261742	151.11	0	3327
ML552059	21634	1151065	53.21	0	1118
total	395731502	15383265897	38.87	0	47764
