chrom	length	bases	mean	min	max
1	41732233	2006158847	48.07	0	24456
2	47849963	1817746146	37.99	0	4330
3	50382502	1816746795	36.06	0	15580
4	39677845	1507800764	38.00	0	4757
5	46702114	1857670453	39.78	0	30117
6	36371416	1461285968	40.18	0	28318
7	35460007	1829117968	51.58	0	31573
8	40988899	1376376784	33.58	0	8364
9	56381885	2278477108	40.41	0	8210
ML552055	47661	442640	9.29	0	62
ML552056	46909	1321280	28.17	0	157
ML552057	40232	15370738	382.05	0	5788
ML552058	28202	4381209	155.35	0	3489
ML552059	21634	3431789	158.63	0	3622
total	395731502	15976328489	40.37	0	31573
