chrom	length	bases	mean	min	max
1	41732233	1026722062	24.60	0	25939
2	47849963	996010730	20.82	0	14756
3	50382502	951388310	18.88	0	8834
4	39677845	757797730	19.10	0	2485
5	46702114	989686910	21.19	0	17293
6	36371416	731802145	20.12	0	11229
7	35460007	966264728	27.25	0	14376
8	40988899	710821424	17.34	0	6802
9	56381885	1163877317	20.64	0	5266
ML552055	47661	145563	3.05	0	33
ML552056	46909	625989	13.34	0	76
ML552057	40232	6799100	169.00	0	5025
ML552058	28202	2833136	100.46	0	2022
ML552059	21634	624033	28.85	0	783
total	395731502	8305399177	20.99	0	25939
