chrom	length	bases	mean	min	max
1	41732233	1211899188	29.04	0	25225
2	47849963	1219737523	25.49	0	25118
3	50382502	1248337055	24.78	0	27107
4	39677845	1094783732	27.59	0	27131
5	46702114	1216117771	26.04	0	25318
6	36371416	993051425	27.30	0	30570
7	35460007	1152095956	32.49	0	24587
8	40988899	1063237607	25.94	0	27104
9	56381885	2056557801	36.48	0	28603
ML552055	47661	918837	19.28	0	68
ML552056	46909	738237	15.74	0	51
ML552057	40232	5593070	139.02	0	1814
ML552058	28202	2448813	86.83	0	1898
ML552059	21634	2785539	128.76	0	1237
total	395731502	11268302554	28.47	0	30570
