chrom	length	bases	mean	min	max
1	41732233	1833241176	43.93	0	25455
2	47849963	2026295218	42.35	0	18110
3	50382502	1938701868	38.48	0	10082
4	39677845	1561861817	39.36	0	10106
5	46702114	1939456315	41.53	0	21864
6	36371416	1668977716	45.89	0	13509
7	35460007	1795295226	50.63	0	25053
8	40988899	1548942398	37.79	0	10834
9	56381885	2537485061	45.01	0	11101
ML552055	47661	136117	2.86	0	48
ML552056	46909	1348662	28.75	0	176
ML552057	40232	6968875	173.22	0	6479
ML552058	28202	3395563	120.40	0	2239
ML552059	21634	825089	38.14	0	1278
total	395731502	16862931101	42.61	0	25455
